number,name,member,url,lank,note,aileshortさんが投稿済みの楽曲は避けるか優先度低,Unnamed: 7
HS12_01,絶対的第六感,,https://youtu.be/skMGJyR74YE,0,,full,
HS12_02,君を覚えてない,,https://youtu.be/Q9H7DG2zvzU,1,,,
HS12_03,永遠のソフィア,,https://youtu.be/FJSKRzRUTj0,2,,,
HS12_04,どっちが先に言う？,,https://youtu.be/BPOHJFqC5-c,3,,,
HS12_05,妄想コスモス,,https://youtu.be/w4qQoQmRQO4,4,,,
HS12_06,雪は降る 心の世界に,,https://youtu.be/UjV7tlh8b0A,5,,,
HS12_07,夕陽Dance,,https://youtu.be/8WHO5Dt1kg8,6,,,
HS11_01,君はハニーデュー,選抜曲,https://youtu.be/RdfLsGLxLOQ,7,short,full,
HS11_02,錆つかない剣を持て！,ひなた坂楽曲,https://youtu.be/KIXbodi1boM,8,,,
HS11_03,どこまでが道なんだ？,金村美玖、高橋未来虹、山口陽世、平岡海月,https://youtu.be/J8XMzteLomo,9,,,
HS11_04,恋とあんバター,河田陽菜、森本茉莉、平尾帆夏、藤嶌果歩,https://youtu.be/svON5LF1GzU,10,,,
HS11_05,夜明けのスピード,小坂菜緒、上村ひなの、正源司陽子、山下葉留花,https://youtu.be/MK0oVV5Zj7U,11,,,
HS11_06,雨が降ったって,4期生楽曲,https://youtu.be/Vf43sY-bcXo,12,,full,
HS11_07,僕に続け,全体曲,https://youtu.be/aH1CKIQomMY,13,,full,
HA02_01,君は0から1になれ,リード曲,https://youtu.be/aDEEYxQwF98,14,,full,
HA02_02,最初の白夜,1期生,https://youtu.be/wqTuqq_4qRA,15,,,
HA02_03,自販機と主体性,2期生,https://youtu.be/wzUfi2P2iaM,16,,,
HA02_04,青春ポップコーン,3期生,none,0,,,
HA02_05,ロッククライミング,4期生,none,0,,full,
HS10_01,Am I ready?,全体曲,https://youtu.be/p2TrDDEUUfM,17,,full,
HS10_02,見たことない魔物,4期生楽曲,https://youtu.be/H9mLV4mDkI4,18,,full,
HS10_03,接触と感情,1～3期生,none,19,,,
HS10_04,骨組みだらけの夏休み,1期生楽曲,none,20,,,
HS10_05,君は逆立ちできるか?,2期生楽曲,none,21,,,
HS10_06,愛のひきこもり,3期生楽曲,https://youtu.be/Tt6iMaIBEUM,22,,full,
HS10_07,ガラス窓が汚れてる,全体曲,https://youtu.be/GYWV57JBwkM,23,,full,
HS09_01,One choice,全体曲,https://youtu.be/YlHD4FlIYpo,24,,,
HS09_02,恋は逃げ足が早い,全体曲,https://youtu.be/NHAE3z0hdtg,25,,short,
HS09_03,愛はこっちのものだ,1期生楽曲,none,26,,,
HS09_04,You're in my way,2期生楽曲,none,27,,,
HS09_05,パクチー ピーマン グリーンピース,3期生楽曲,https://youtu.be/WiCh_RMVRTc,28,,,
HS09_06,シーラカンス,4期生楽曲,https://youtu.be/NTmBDsQuUh8,29,,full,
HS09_07,友よ 一番星だ,全体曲,none,30,,full,
HS08_01,月と星が踊るMidnight,全体曲,https://youtu.be/l0IouAYUJJY,31,,full,
HS08_02,HEY! OHISAMA!,全体曲,https://youtu.be/smtnpsAzwmk,32,,short,
HS08_03,孤独な瞬間,齊藤京子,https://youtu.be/5mW5FWUoB-Q,33,,,
HS08_04,10秒天使,パン工場,https://youtu.be/_Oz0U3VSp3w,34,,short,
HS08_05,その他大勢タイプ,影山優佳、金村美玖、富田鈴花、上村ひなの,https://youtu.be/u5IuYIHXjFQ,35,,short,
HS08_06,ブルーベリー&ラズベリー,4期生楽曲,https://youtu.be/j37qeRhadOI,36,,full,
HS08_07,一生一度の夏,全体曲,https://youtu.be/alLhf6jaHrE,37,,,
HS07_01,僕なんか,全体曲,https://youtu.be/oO2ZyxYaHvg,38,,short,
HS07_02,飛行機雲ができる理由,全体曲,https://youtu.be/h2tD7eswTxY,39,,,
HS07_03,もうこんなに好きになれない,2002年組,https://youtu.be/HQXzVYMqgTQ,40,,full,
HS07_04,ゴーフルと君,3期生楽曲,https://youtu.be/lSDgiu1p0Es,41,,,
HS07_05,真夜中の懺悔大会,1期生楽曲,none,0,,,
HS07_06,恋した魚は空を飛ぶ,2期生楽曲,https://youtu.be/MrXig6m3Okg,42,,,
HS07_07,知らないうちに愛されていた,全体曲,https://youtu.be/87RDNbpF7_0,43,,,
HS06_01,ってか,全体曲,none,44,Presso様,full,
HS06_02,何度でも何度でも,全体曲,https://youtu.be/7WT4_K7wBWI,45,,,
HS06_03,思いがけないダブルレインボー,全体曲,https://youtu.be/klFaRSpRX4w,46,,,
HS06_04,夢は何歳まで?,あゃめぃちゃん,https://youtu.be/5thsiMugoFU,47,,,
HS06_05,あくびLetter,カラーチャート,none,48,採譜困難,,
HS06_06,酸っぱい自己嫌悪,みーぱんファミリー,https://youtu.be/dkfowtPeWus,49,,,
HS06_07,アディショナルタイム,全体曲,https://youtu.be/Sjb8M2RsS_0,50,,,
